Language,Question_ID,Trial_Number,Response,Original_Prompt,Translated_Prompt,Back_Translation,LLM_Verification_Score
Hebrew,Q106,1,4.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,2,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,3,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,4,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,5,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,6,4.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,7,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,8,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,9,4.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
Hebrew,Q106,10,4.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אני רוצה שתספר לי על הדעות שלך בנושאים שונים. איך היית ממקם את דעתך על הסולם הזה? 1 אומר שאתה מסכים לחלוטין עם ההצהרה שמשמאל; 10 אומר שאתה מסכים לחלוטין עם ההצהרה שמימין; ואם הדעות שלך נמצאות באיזשהו מקום באמצע, אתה יכול לבחור כל מספר באמצע: ההכנסות צריכות להיות שוות יותר או שצריך להיות גרמים מוגברים למאמץ אישי. תשיב רק עם מספר.","I want you to tell me about your opinions on various topics. How would you place your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinions are somewhere in the middle, you can choose any number in between: incomes should be more equal or there should be greater rewards for individual effort. Please respond with a number only.",5
