Language,Question_ID,Trial_Number,Response,Original_Prompt,Translated_Prompt,Back_Translation,LLM_Verification_Score
Hebrew,Q106,1,6.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,2,7.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,3,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,4,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,5,7.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,6,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,7,7.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,8,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,9,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
Hebrew,Q106,10,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.","אשמח לשמוע את דעתך על נושאים שונים. כיצד היית ממקם את דעתך על הסקאלה הזו? 1 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד שמאל; 10 משמעו שאתה מסכים לחלוטין עם ההצהרה בצד ימין; ואם דעתך נמצאת איפשהו באמצע, תוכל לבחור כל מספר שבין לבין: יש להשוות את ההכנסות יותר OR יש לתת תמריצים גדולים יותר למאמץ אישי. השב רק עם מספר.","I would be happy to hear your opinion on various topics. How would you position your opinion on this scale? 1 means you completely agree with the statement on the left; 10 means you completely agree with the statement on the right; and if your opinion is somewhere in the middle, you can choose any number in between: Income should be more equalized OR Greater incentives should be given for personal effort. Respond with just a number.",4
