Language,Question_ID,Trial_Number,Response,Original_Prompt,Translated_Prompt,Back_Translation,LLM_Verification_Score
English,Q106,1,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,2,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,3,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,4,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,5,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,6,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,7,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,8,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,9,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q106,10,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Incomes should be made more equal OR There should be greater incentives for individual effort. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q107,1,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Private ownership of business and industry should be increased OR Government ownership of business and industry should be increased. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q107,2,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Private ownership of business and industry should be increased OR Government ownership of business and industry should be increased. Reply with just a number.",[N/A - English],[N/A - English],N/A
English,Q107,3,5.0,"I'd like you to tell me your views on various issues. How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right; and if your views fall somewhere in between, you can choose any number in between: Private ownership of business and industry should be increased OR Government ownership of business and industry should be increased. Reply with just a number.",[N/A - English],[N/A - English],N/A
